userID,Location,Age
9417,"whitby, ontario, canada",26
9440,"indianapolis, indiana, usa",21
9613,"collings lakes, new jersey, usa",34
9747,"o`fallon, missouri, usa",34
9856,"glendale, colorado, usa",22
9908,"woodstock, georgia, usa",36
10030,"pittsburgh, pennsylvania, usa",66
10067,"watton, norfolk, england",61
10118,"minneapolis, minnesota, usa",44
10314,"beaverton, oregon, usa",34
10354,"martinsburg, west virginia, usa",15
10447,"chicago, illinois, usa",34
10560,"chicago, illinois, usa",27
10819,"richmond, kentucky, usa",27
11224,"tumwater, washington, usa",51
11245,"scarborough, ontario, canada",34
11601,"brooklyn, new york, usa",34
11629,"houston, texas, usa",21
11657,"cincinnati, ohio, usa",25
11676,"n/a, n/a, n/a",34
11687,"orillia, ontario, canada",47
11718,"reno, nevada, usa",34
11724,"west lawn, pennsylvania, usa",42
11993,"lakewood, colorado, usa",37
12100,"quezon city, national capital region, philippines",26
12272,"ploiesti, prahova, romania",18
12515,"redwood city, california, usa",34
12537,"byron, minnesota,",34
12538,"byron, minnesota, usa",18
12824,"long beach, california, usa",18
12835,"hamburg, hamburg, germany",38
12863,"london, england, united kingdom",29
12917,"moore, oklahoma, usa",24
12982,"getxo, vizcaya, spain",41
13093,"zaragoza, aragon, spain",29
13273,"harrisburg, pennsylvania, usa",34
13279,"moodus, connecticut, usa",34
13347,"vigo, vigo pontevedra, spain",49
13518,"fishers, indiana, usa",27
13551,"raleigh, north carolina, usa",34
13552,"cordova, tennessee, usa",32
13582,"lisboa, lisboa, portugal",29
13600,"athens, athens, greece",34
13666,"tinley park, illinois, usa",54
13850,"online, n/a, usa",28
13995,"adelaide, south australia, australia",34
14079,"valencia, valencia, spain",41
14173,"calgary, alberta, canada",34
14232,"paris, paris, france",23
14387,"coalville, leicestershire, england, united kingdom",35
14422,"apple valley, minnesota, usa",34
14449,"saskatoon, saskatchewan, canada",72
14456,"edmonton, alberta, canada",27
14461,"aachen, nordrhein-westfalen, germany",31
14521,"providence, rhode island, usa",34
14638,"roquemaure, languedoc roussillon, france",33
14698,"upstate, new york, usa",34
14958,"lezo, euskadi, spain",39
15021,"lake mary, florida, usa",37
15049,"benbrook, texas, usa",28
15135,"shreveport, louisiana, usa",33
15208,"woodside, new york, usa",34
15408,"cary, north carolina, usa",34
15418,"vitoria, álava, spain",23
15602,"cherry hill, new jersey, usa",21
15651,"springfield, missouri, usa",23
15670,"round rock, texas, usa",34
15819,"grapevine, texas, usa",34
15945,"charlotte, north carolina, usa",36
16009,"stratford, new jersey, usa",25
16106,"albany, california, usa",44
16161,"cobram, victoria, australia",28
16246,"kitakyushu, fukuoka, japan",32
16263,"ashland, wisconsin, usa",34
16417,"austin, texas, usa",34
16488,"milwaukee, wisconsin, usa",36
16504,"kuching, sarawak, malaysia",28
16545,"berkeley, california, usa",34
16599,"roselle, illinois, usa",33
16634,"little rock, arkansas, usa",42
16654,"málaga, andalucia, spain",35
16718,"houston, texas, usa",29
16795,"mechanicsville, maryland, usa",47
16908,"chicago, illinois, usa",55
16966,"waterloo, ontario, canada",41
16996,"stratford, iowa, usa",23
17003,"carlsbad, california, usa",34
17183,"zaragoza, zaragoza, spain",23
17190,"woodstock, georgia, usa",31
17282,"irwin, pennsylvania, usa",38
17667,"iowa city, iowa, usa",33
17859,"roanoke, virginia, usa",43
17926,"honolulu, hawaii, usa",34
17950,"puchong, selangor, malaysia",32
18038,"miami, florida, usa",29
18067,"kajang, selangor, malaysia",33
18082,"southern, california, usa",38
18172,"levittown, pennsylvania, usa",36
18323,"augusta, maine, usa",41
18384,"palma de mallorca, baleares, spain",37
18401,"chicago, illinois,",34
19085,"menomonie, wisconsin, usa",60
19336,"leavenworth, kansas, usa",34
19422,"indialantic, florida, usa",37
19493,"baldwin, ,",34
19664,"katonah, new york, usa",19
19711,"katy, texas, usa",34
19760,"clemson, south carolina, usa",23
19969,"antelope, california, usa",44
20060,"baltimore, maryland, usa",48
20115,"lansdale, pennsylvania, usa",32
20172,"saratoga springs, utah, usa",27
20180,"sacramento, california, usa",36
20201,"grove city, ohio, usa",31
20336,"ballston spa, new york, usa",32
20462,"bossier city, louisiana, usa",34
20561,"baltimore, maryland, usa",40
20961,"ottawa, ontario, canada",47
20971,"sacramento, california, usa",20
21011,"san francisco, california, usa",44
21014,"fresno, california, usa",34
21031,"alexandria, virginia, usa",36
21229,"blairmore, alberta, canada",34
21252,"duluth, minnesota, usa",28
21356,"westwood, new jersey, usa",56
21364,"san diego, california, usa",32
21404,"west vancouver, british columbia, canada",34
21484,"madison, wisconsin, usa",21
21576,"memphis, tennessee, usa",31
21618,"atlanta, georgia, usa",24
21659,"san jose, california, usa",31
21684,"austin, minnesota, usa",37
22045,"sacramento, california, usa",34
22074,"san luis obispo, california, usa",34
22154,"cleveland, ohio, usa",36
22252,"elmhurst, new york, usa",38
22365,"castle rock, colorado, usa",51
22409,"toledo, ohio, usa",28
22521,"montgomery, alabama, usa",18
22625,"lynbrook, new york, usa",54
22818,"franklin, pennsylvania, usa",28
22885,"stratford, england, united kingdom",30
23288,"wolseley, saskatchewan, canada",34
23511,"chapel hill, north carolina, usa",56
23547,"mcallen, texas, usa",26
23571,"burbank, california, usa",41
23680,"carmichael, ,",34
23699,"minneapolis, minnesota, usa",25
23768,"st. louis, missouri, usa",45
23771,"ogden, utah, usa",34
23871,"pompano beach, florida, usa",34
23872,"tulsa, oklahoma, usa",22
23902,"london, england, united kingdom",34
24186,"vineland, new jersey, usa",36
24194,"palos hills, illinois, usa",20
24433,"deventer, overijssel, netherlands",37
24624,"decatur, georgia, usa",38
24733,"oswego, new york, usa",32
24921,"higley, arizona, usa",29
24933,"long island, new york, usa",44
24934,"marshfield, massachusetts, usa",34
25131,"grimes, iowa, usa",34
25409,"la mesa, california, usa",31
25436,"chambery, savoie, france",30
25533,"derby, derbyshire, united kingdom",38
25601,"gilbert, arizona, usa",41
25804,"halifax, nova scotia, canada",34
25827,"austin, texas, usa",33
25850,"mastic beach, new york, usa",50
25890,"ridgewood, nj, usa",34
25919,"evansville, indiana, usa",34
25981,"nj, new jersey, usa",34
26057,"halifax, nova scotia, canada",18
26084,"tuscaloosa, alabama, usa",21
26153,"bismarck, north dakota, usa",42
26240,"sacramento, california, usa",34
26443,"malakoff, hauts-de-seine, france",27
26487,"winder, georgia, usa",44
26516,"victor, montana, usa",67
26535,"hickory, mississippi, usa",41
26544,"woodbridge, virginia, usa",37
26583,"dollard des ormeaux, quebec, canada",34
26593,"peoria, arizona, usa",34
26620,"napa, california,",34
26621,"haskell, new jersey, usa",34
26756,"willowick, ohio, usa",35
26883,"vienna, vienna, austria",34
27140,"baltimore, maryland, usa",49
27169,"catlettsburg, kentucky, usa",34
27363,"leicester, england, united kingdom",30
27472,"bountiful, utah, usa",41
27617,"beaverton, ontario, canada",32
27647,"lisboa, lisboa, portugal",34
27740,"san diego, , usa",57
27812,"long beach, california, usa",33
27813,"boerne, texas, usa",34
27875,"new port richey, florida, usa",34
28016,"port clinton, ohio, usa",31
28177,"grand rapids, michigan, usa",26
28204,"south ohio, nova scotia, canada",61
28255,"richmond hill, ,",23
28360,"oakwood, georgia, usa",15
28451,"altamonte springs, florida, usa",31
28454,"portland, maine, usa",50
28492,"slough, england, united kingdom",31
28523,"springfield, missouri, usa",24
28537,"bochum, nordrhein-westfalen, germany",29
28591,"michie, tennessee, usa",33
28594,"thunder bay, ontario, canada",18
28602,"wingham, ontario, canada",34
28619,"hartford, connecticut, usa",34
28634,"bad axe, michigan, usa",28
28666,"irving, texas, usa",31
28667,"norwood, massachusetts, usa",26
28735,"hannover, niedersachsen, germany",58
28938,"asheville, north carolina, usa",38
29070,"upper hutt, wellington, new zealand",37
29101,"bolivar, missouri, usa",38
29209,"boca raton, florida, usa",34
29259,"mt. airy, , usa",39
29526,"knoxville, tennessee, usa",26
29855,"morris, connecticut, usa",53
29974,"gulfport, florida, usa",34
30029,"simi valley, california, usa",37
30035,"vancouver, british columbia, canada",37
30052,"minneapolis, minnesota, usa",34
30072,"st. louis, missouri, usa",11
30081,"east providence, rhode island, usa",25
30273,"naples, florida, usa",25
30276,"wildwood, new jersey, usa",49
30445,"kuala lumpur, ,",23
30487,"newbury park, california, usa",40
30511,"culemborg, gelderland, netherlands",34
30533,"charleston, south carolina, usa",34
30711,"sydney, new south wales, australia",32
30712,"edinburgh, scotland, united kingdom",34
30716,"new york, new york, usa",23
30735,"corvallis, oregon, usa",34
30806,"halifax, nova scotia, canada",24
30810,"berlin, berlin, germany",34
30898,"richmond, virginia, usa",43
30972,"columbiana, alabama, usa",47
30979,"mesa, arizona, usa",41
30985,"cape coral, florida, usa",34
30994,"mission hills, california, usa",34
31008,"london, england, united kingdom",29
31040,"san ramon, california, usa",34
31050,"woodbine, maryland, usa",34
31094,"cleveland, wisconsin, usa",34
31308,"san jose, california, usa",38
31315,"henryville, indiana, usa",34
31391,"wilmington, massachusetts, usa",38
31393,"portland, oregon, usa",34
31468,"yorktown, virginia, usa",33
31556,"chula vista, california, usa",51
31826,"jasper, missouri, usa",54
31846,"phoenix, , usa",34
31900,"levittown, new york, usa",12
32148,"edmonton, alberta, canada",34
32195,"fall river, massachusetts, usa",34
32250,"gta, ontario, canada",29
32440,"dunedin, otago, new zealand",34
32569,"richmond hill, ontario, canada",19
32599,"york, south carolina, usa",17
32627,"casper, wyoming, usa",49
32721,"toulouse, haute-garonne, france",36
32773,"olathe, kansas, usa",28
32802,"courtenay, british columbia, canada",34
33124,"london, ontario, canada",34
33145,"saint-dizier, champagne-ardenne, france",30
33179,"freedonia, emilia romagna, antarctica",34
33283,"winnipeg, manitoba, canada",26
33319,"calgary, alberta, canada",24
33408,"barcelona, catalunya - barcelona, spain",39
33580,"rockwell, north carolina, usa",27
33818,"winnipeg, manitoba, canada",29
33826,"cape girardeau, missouri, usa",34
33862,"abingdon, maryland, usa",34
33888,"oldham, england, united kingdom",48
33933,"hull, massachusetts, usa",35
33943,"lyon, rhône-alpes, france",25
33958,"new orleans, louisiana,",34
33974,"barnhart, missouri, usa",24
34300,"burlington, ontario, canada",35
34588,"west linn, oregon, usa",34
34636,"orlando, florida, usa",34
34801,"henderson, nevada, usa",47
34932,"portland, oregon, usa",34
35030,"somerville, massachusetts, usa",26
35185,"westminster, texas, usa",56
35320,"melbourne, victoria, australia",24
35407,"gütersloh, nordrhein-westfalen, germany",48
35433,"wangen, zürich, switzerland",40
35445,"terre haute, indiana, usa",31
35704,"kansas city, missouri, usa",53
35836,"rochester, new york, usa",34
35857,"mentor, ohio, usa",36
35859,"duluth, minnesota, usa",34
35918,"reno, nevada, usa",34
35921,"mentor, ohio, usa",8
36003,"shah alam, selangor, malaysia",26
36043,"new york, new york, usa",30
36135,"charleston, south carolina, usa",34
36256,"amarillo, texas, usa",39
36299,"austin, texas, usa",50
36327,"wirtz, virginia, usa",34
36554,"carrboro, north carolina, usa",48
36606,"san marcos, california, usa",39
36609,"zachary, louisiana, usa",32
36715,"lexington, kentucky, usa",34
36741,"hr. grace, newfoundland, canada",24
36807,"wisconsin rapids, wisconsin, usa",27
36817,"south hadley, massachusetts, usa",29
36836,"raleigh, north carolina, usa",56
36839,"deland, florida, usa",33
36907,"dunnville, ontario, canada",39
36935,"annapolis, maryland, usa",62
37030,"la monte, missouri, usa",42
37208,"mesa, arizona, usa",30
37227,"hamilton, ohio, usa",27
37293,"whitehorse, yukon territory, canada",41
37310,"americus, georgia, usa",33
37400,"portland, oregon, usa",27
37447,"kingston, new york, usa",34
37512,"tulsa, oklahoma, usa",27
37527,"guer, bretagne, france",30
37538,"kuala lumpur, n/a, malaysia",34
37556,"wilton, maine, usa",34
37567,"medway, kent, united kingdom",36
37597,"cherry valley, california, usa",25
37644,"sudbury, massachusetts, usa",18
37712,"cincinnati, ohio, usa",23
37790,"oshawa, ontario, canada",34
37874,"williamsburg, virginia, usa",43
37929,"toronto, ontario, canada",34
37950,"calgary, alberta, canada",34
37968,"roanoke, virginia, usa",50
37974,"rochester, new york, usa",34
38023,"hayward, california, usa",30
38273,"chandler, arizona, usa",34
38281,"barcelona, catalunya, spain",33
38556,"edmonton, alberta, canada",34
38654,"kitchener, ontario, canada",17
38660,"ottawa, ontario, canada",40
38781,"kingsville, texas, usa",31
38832,"raleigh, north carolina, usa",52
38933,"san diego, california, usa",37
38950,"berlin, berlin, germany",26
39227,"san diego, california, usa",37
39281,"morris plains, new jersey, usa",45
39345,"jacksonville, florida, usa",47
39353,"saint john, new brunswick, canada",11
39396,"bonn, nordrhein-westfalen, germany",20
39467,"barcelona, catalunya, spain",35
39502,"kirkwood, missouri, usa",56
39527,"santeramo in colle, bari, italy",32
39616,"las vegas, nevada, usa",38
39646,"fairless hills, pennsylvania, usa",35
39773,"miami, florida, usa",49
40012,"new plymouth, taranaki, new zealand",44
40330,"germantown, maryland, usa",34
40415,"san francisco, california, usa",34
40640,"bowen island, british columbia, canada",39
40889,"brainerd, minnesota, usa",37
40914,"phoenix, arizona, usa",28
40922,"pittsboro, north carolina, usa",53
40943,"oklahoma city, oklahoma, usa",40
41084,"orlando, florida, usa",36
41086,"san jose, california, usa",42
41177,"austin, texas, usa",38
41227,"datteln, nordrhein-westfalen, germany",40
41364,"north little rock, arkansas, usa",34
41449,"danville, california, usa",34
41450,"denver, colorado, usa",34
41455,"toronto, ontario, canada",34
41589,"bellingham, washington, usa",51
41596,"mexico city, distrito federal, mexico",40
41676,"ronald, washington, usa",68
41700,"kerzers, fribourg, switzerland",42
41757,"calgary, alberta, canada",58
41781,"clinton twp., michigan, usa",54
41831,"toronto, ontario, canada",52
41841,"sherwood park, alberta, canada",34
41911,"iasi, n/a, romania",19
42093,"fair haven, new jersey, usa",50
42162,"bucksport, maine, usa",18
42323,"madera, california, usa",34
42419,"west seneca, new york, usa",33
42458,"north york, ontario, canada",47
42573,"dallas, ,",78
42718,"baldwinsville, new york, usa",50
42798,"bellevue, nebraska, usa",15
42914,"clarksville, indiana, usa",26
43004,"fresno, california, usa",45
43006,"portland, maine, usa",29
43021,"carbondale, illinois, usa",34
43246,"toronto, ontario, canada",36
43282,"ottawa, ontario, canada",34
43309,"doylestown, ohio, usa",42
43359,"sterling, virginia, usa",33
43436,"san diego, california, usa",29
43481,"bridgewater, connecticut, usa",57
43619,"shrewsbury, massachusetts, usa",26
43678,"la jolla, california, usa",34
43687,"sacramento, california, usa",27
43807,"sambro, nova scotia, canada",32
43842,"tucson, ,",34
43910,"granada hills, california, usa",43
43962,"renmark, south australia, australia",23
44089,"leduc, ,",34
44190,"mt. crawford, virginia, usa",50
44252,"fairview, new jersey, usa",28
44296,"sydney, new south wales, australia",26
44297,"christchurch, canterbury, new zealand",22
44535,"warrensburg, missouri, usa",20
44595,"toronto, ontario, canada",39
44728,"florence, alabama, usa",31
44845,"dallas, texas, usa",29
44852,"spring, texas, usa",39
44893,"alexandria, virginia, usa",34
45113,"alderson, west virginia, usa",34
45315,"ada, michigan, usa",34
45340,"canton, ohio, usa",34
45418,"dingmans ferry, pennsylvania, usa",51
45557,"flossmoor, illinois, usa",33
46145,"chardon, ohio, usa",43
46269,"recife, pernambuco, brazil",26
46293,"almonte, ontario, canada",38
46351,"paris, ile de france, france",27
46398,"san antonio, texas, usa",37
46443,"asheville, north carolina, usa",14
46461,"hershey, pennsylvania, usa",34
46892,"northridge, california, usa",35
46909,"howell, new jersey, usa",31
47128,"elmhurst, illinois, usa",33
47279,"stillwater, oklahoma, usa",29
47316,"comanche, texas, usa",34
47605,"halifax, nova scotia, canada",27
47609,"lubbock, texas, usa",34
47779,"webster, new york, usa",34
47856,"ottawa, ontario, canada",32
47971,"toronto, ontario, canada",40
48025,"concordia, missouri, usa",43
48037,"delaware water gap, pennsylvania, usa",16
48046,"central sq., new york, usa",34
48217,"portland, oregon, usa",40
48268,"vienna, vienna, austria",18
48355,"florence, arizona, usa",35
48494,"lemon grove, california, usa",51
48579,"cleveland, oklahoma, usa",24
48911,"new orleans, louisiana, usa",57
48975,"beaver dams, new york, usa",34
49109,"west jordan, utah, usa",38
49144,"ferreries, illes balears, spain",43
49154,"thibodaux, louisiana, usa",41
49155,"barcelona, ,",26
49212,"san francisco, california, usa",38
49225,"medina, ohio, usa",34
49392,"boston, massachusetts, usa",28
49422,"regensburg, bayern, germany",34
49460,"., kansas, usa",37
49771,"san antonio, texas,",35
49792,"denver, pennsylvania, usa",34
49889,"orem, utah, usa",34
49900,"catonsville, maryland, usa",48
49980,"new hartford, new york, usa",27
50073,"south portland, maine, usa",34
50129,"reynolds, ,",34
50204,"lebanon, pennsylvania, usa",36
50225,"fresno, california, usa",34
50681,"asheville, north carolina, usa",50
50730,"mcallen, texas, usa",34
50823,"sacramento, california, usa",34
50849,"prince albert, saskatchewan, canada",52
50859,"erin, tennessee, usa",26
50895,"calverton, new york, usa",34
51100,"new braunfels, texas, usa",25
51184,"münchen, bayern, germany",25
51252,"yucca valley, california, usa",34
51350,"monroe, ,",34
51365,"shelbyville, kentucky, usa",48
51386,"adrian, michigan, usa",41
51440,"buffalo, minnesota, usa",34
51450,"lawrenceville, georgia, usa",54
51526,"long beach, california, usa",34
51742,"brooklyn, new york, usa",34
51803,"brantford, ontario, canada",34
51883,"jasper, missouri, usa",31
51992,"west fairlee, vermont, usa",43
52011,"burlington, ontario, canada",37
52044,"atlanta, georgia, usa",46
52175,"johnstown, pennsylvania, usa",34
52199,"houston, texas, usa",47
52203,"calais, pas de calais, france",32
52256,"duluth, minnesota, usa",17
52293,"lombard, illinois, usa",61
52323,"karlsruhe, baden-wuerttemberg, germany",38
52350,"lisboa, n/a, portugal",31
52521,"safety harbor, florida, usa",38
52584,"livermore, california, usa",45
52614,"toccoa, ga., usa",33
52807,"three hills, alberta, canada",38
52853,"yuba city, california, usa",61
52917,"bellevue, washington, usa",42
53174,"orlando, florida, usa",29
53220,"fullerton, california, usa",36
53241,"hillsborough, new jersey, usa",34
53256,"sterlington, louisiana, usa",21
53278,"toronto, ontario, canada",34
53304,"south burlington, vermont, usa",52
53392,"minneapolis, minnesota, usa",34
53418,"puyallup, washington, usa",28
53456,"ne portland, oregon,",34
53545,"los angeles, california, usa",34
53590,"thalwil, zurich, switzerland",40
53614,"barreiro, barreiro, portugal",30
53628,"brest, bretagne, france",22
53729,"balingup, western australia, australia",34
54206,"philadelphia, pennsylvania, usa",24
54218,"kaiserslautern, rheinland-pfalz, germany",27
54335,"north haven, connecticut, usa",43
54374,"london, ontario, canada",24
54453,"boise, idaho, usa",34
54622,"kuala lumpur, federal territory, malaysia",34
54828,"hamburg, hamburg, germany",34
54898,"pine beach, new jersey, usa",35
55075,"seattle, washington, usa",33
55097,"greenville, illinois, usa",34
55142,"austin, texas, usa",47
55178,"moore, oklahoma, usa",25
55187,"torrance, california, usa",48
55438,"lexington, kentucky, usa",42
55490,"rapid city, south dakota, usa",25
55492,"antioch, illinois, usa",43
55493,"chatham, ontario, canada",35
55548,"chamblee, georgia, usa",34
55559,"jonesboro, georgia, usa",34
55734,"calgary, alberta, canada",37
55751,"hesperia, california, usa",34
55799,"scarborough, ontario, canada",34
55892,"plantersville, texas, usa",45
55927,"roscoe, minnesota, usa",17
56039,"paris, paris, france",34
56271,"leeds, england, united kingdom",22
56307,"el segundo, california, usa",34
56360,"wien, wien, austria",35
56391,"tijeras, nm, usa",40
56399,"n/a, surrey, united kingdom",63
56447,"sturgis, michigan, usa",22
56554,"rural hall, north carolina, usa",39
56661,"green, ohio, usa",34
56804,"southbridge, canterbury, new zealand",34
56856,"escondido, california, usa",23
56959,"monroe twp., new jersey, usa",52
57006,"lawton, oklahoma, usa",30
57108,"new york, new york, usa",38
57234,"austin, texas, usa",34
57255,"cordova, tennessee, usa",34
57398,"tigard, oregon, usa",39
57449,"rudersberg, baden-württemberg, germany",29
57599,"portland, oregon, usa",27
57620,"baldwin, ,",34
57725,"wilmington, delaware, usa",43
57976,"eugene, oregon, usa",34
58062,"chicago, illinois, usa",52
58067,"donostia, gipuzkoa, euskal herria",26
58363,"colorado springs, colorado, usa",81
58458,"peel, isle of man, united kingdom",23
58482,"norfolk, virginia, usa",34
58497,"nantes, pays de la loire, france",26
58529,"denver, colorado, usa",36
58594,"baltimore, maryland, usa",33
58768,"cold lake, alberta, canada",35
58855,"glen ellyn, illinois, usa",38
58911,"batavia, new york, usa",58
58961,"allston, massachusetts, usa",34
59059,"sarasota, florida, usa",19
59150,"victoria, british columbia, canada",37
59172,"owen sound, ontario, canada",36
59189,"houston, texas, usa",33
59269,"indianapolis, indiana, usa",34
59504,"louisville, kentucky, usa",39
59656,"schnellville, indiana, usa",53
59727,"plano, texas, usa",24
59770,"birmingham, alabama, usa",34
59912,"pasadena, california, usa",27
59967,"dundee, scotland, united kingdom",28
59971,"kingwood, texas, usa",27
60050,"brooklyn, new york, usa",40
60098,"elizabeth city, north carolina, usa",35
60114,"san francisco, california, usa",34
60244,"alvin, texas, usa",47
60263,"middletown, delaware, usa",52
60319,"haddonfield, new jersey, usa",34
60337,"st. marys, georgia, usa",50
60419,"lovelock, nevada, usa",36
60424,"york, north yorkshire, united kingdom",34
60427,"basingstoke, england, united kingdom",37
60445,"houston, texas, usa",31
60569,"chardon, ohio, usa",41
60583,"antioch, illinois, usa",34
60621,"edwardsville, illinois, usa",57
60707,"manchester, new hampshire, usa",38
60787,"paris, ile de france, france",34
60858,"sacramento, california, usa",25
61028,"charleston, south carolina, usa",50
61038,"riverside public library, illinois, usa",53
61147,"ebensee, oberoesterreich, austria",44
61257,"lake placid, florida, usa",25
61427,"morgan hill, california, usa",34
61704,"villanova, pennsylvania, usa",58
61762,"paderborn, nordrhein-westfalen, germany",35
61798,"rockville, maryland, usa",34
61854,"boulder city, nevada, usa",34
61901,"tucson, arizona, usa",63
61910,"las cruces, new mexico, usa",44
62009,"cambridge, massachusetts, usa",34
62172,"toronto, ontario, canada",19
62239,"yarmouth, nova scotia, canada",9
62272,"lake mary, florida, usa",30
62303,"dublin, dublin, ireland",31
62339,"beaufort, victoria, australia",34
62464,"el cajon, california, usa",26
62542,"cudahy, wisconsin, usa",40
62558,"rochester, minnesota, usa",34
62688,"wahiawa, hawaii, usa",31
62862,"new milford, connecticut, usa",47
62891,"hi nella, new jersey, usa",27
62895,"chesterfield, derbyshire, united kingdom",39
62966,"fairfax, virginia, usa",23
63394,"eufaula, alabama, usa",22
63595,"chesapeake, virginia,",41
63625,"torrance, california, usa",15
63714,"milton keynes, england, united kingdom",29
63854,"waterloo, ontario, canada",45
63956,"emporia, kansas, usa",28
64241,"colorado springs, colorado, usa",43
64310,"smyrna, georgia, usa",46
64436,"san ramon, california, usa",36
64946,"normal, illinois, usa",34
65032,"norwood, massachusetts, usa",17
65228,"uniontown, ohio, usa",58
65258,"saginaw, michigan, usa",42
65584,"tulsa, oklahoma, usa",26
65663,"syracuse, new york, usa",32
65665,"coffs harbour, new south wales, australia",40
65877,"tonawanda, new york, usa",34
66129,"san diego, california, usa",29
66323,"factoryville, pennsylvania, usa",34
66483,"berlin, berlin, germany",16
66485,"berlin, berlin, germany",34
66574,"astoria, new york, usa",27
66680,"orange park, florida, usa",67
66797,"athens, ohio, usa",28
66878,"fort myers, florida, usa",42
66942,"kuching, sarawak, malaysia",31
67079,"london, england, united kingdom",35
67085,"vancouver, british columbia, canada",34
67111,"mönchengladbach, nordrhein-westfalen, germany",36
67198,"denver, colorado, usa",13
67270,"ste adele, quebec, canada",34
67403,"danbury, connecticut, usa",31
67415,"minneapolis, minnesota, usa",29
67515,"oakland, california, usa",45
67542,"northridge, california, usa",60
67547,"sierra madre, california, usa",42
67591,"edmonton, alberta,",34
67627,"kent, ohio, usa",34
67663,"wrightstown, ,",47
67775,"chinle, arizona, usa",34
67840,"houston, texas, usa",50
67930,"colton, california,",34
68128,"mountain view, california, usa",34
68156,"brooklyn, new york, usa",34
68185,"virginia beach, virginia, usa",22
68249,"la crosse, wisconsin, usa",50
68256,"chickasha, oklahoma, usa",28
68383,"studio city, california, usa",35
68436,"downieville, california, usa",49
68491,"london, england, united kingdom",34
68555,"bad axe, michigan, usa",34
